OBJECTID,Name,Address,Category,Jurisdiction,Comment,geometry,lon,lat
1,Sobey's,1160 FINDLAY BLVD,Primary,Riverview,General Groceries,POINT (-64.79473783661511 46.049393197526584),-64.79473783661511,46.049393197526584
2,Superstore,429 COVERDALE RD,Primary,Riverview,General Groceries,POINT (-64.80128763520871 46.06540486440877),-64.80128763520871,46.06540486440877
3,Superstore,89 TRINITY DR,Primary,Moncton,General Groceries,POINT (-64.83245763552408 46.118430650312746),-64.83245763552408,46.118430650312746
4,Sobey's,55 VAUGHAN HARVEY BLVD,Primary,Moncton,General Groceries,POINT (-64.78783320641128 46.08453440743264),-64.78783320641128,46.08453440743264
5,Superstore,165 MAIN ST,Primary,Moncton,General Groceries,POINT (-64.76863098227922 46.09382865683188),-64.76863098227922,46.09382865683188
6,Sobey's,477 PAUL ST,Primary,Dieppe,General Groceries,POINT (-64.76296767662005 46.09528171263085),-64.76296767662005,46.09528171263085
7,Sobey's,501 REGIS ST,Primary,Dieppe,General Groceries,POINT (-64.75839665443118 46.09841057189041),-64.75839665443118,46.09841057189041
8,Sobey's,77 FILLES DE JESUS AVE,Primary,Moncton,General Groceries,POINT (-64.76808283886898 46.12276105898602),-64.76808283886898,46.12276105898602
9,Sobey's,1380 MOUNTAIN RD,Primary,Moncton,General Groceries,POINT (-64.83241061462665 46.10922506519814),-64.83241061462665,46.10922506519814
10,IGA,615 DIEPPE BLVD,Primary,Dieppe,General Groceries,POINT (-64.70067072399374 46.09630428755962),-64.70067072399374,46.09630428755962
11,Costco,140 GRANITE DR,Primary,Moncton,General Groceries,POINT (-64.77868539083015 46.12916349563233),-64.77868539083015,46.12916349563233
12,Wal-Mart,25 PLAZA BLVD,Primary,Moncton,General Groceries,POINT (-64.8294174129749 46.11449116573546),-64.8294174129749,46.11449116573546
13,Wal-Mart,477 PAUL ST,Primary,Dieppe,General Groceries,POINT (-64.76084044243137 46.09706470059082),-64.76084044243137,46.09706470059082
14,Giant Tiger,165 MAIN ST,Secondary,Moncton,Limited Groceries,POINT (-64.76850966792905 46.09439730651448),-64.76850966792905,46.09439730651448
15,Giant Tiger,80 MAPLETON RD,Secondary,Moncton,Limited Groceries,POINT (-64.82454690675182 46.10838455338828),-64.82454690675182,46.10838455338828
16,Giant Tiger,720 COVERDALE RD,Secondary,Riverview,Limited Groceries,POINT (-64.81753048117102 46.05918074091349),-64.81753048117102,46.05918074091349
17,Shoppers Drug Mart,1633 MOUNTAIN RD,Secondary,Moncton,Limited Groceries,POINT (-64.83906765245196 46.11717895967723),-64.83906765245196,46.11717895967723
18,Shoppers Drug Mart,681 MOUNTAIN RD,Secondary,Moncton,Limited Groceries,POINT (-64.80303305465581 46.09964962769771),-64.80303305465581,46.09964962769771
19,Shoppers Drug Mart,45 VAUGHAN HARVEY BLVD,Secondary,Moncton,Limited Groceries,POINT (-64.78866376447928 46.08247039793543),-64.78866376447928,46.08247039793543
20,Shoppers Drug Mart,18 CHAMPLAIN ST,Secondary,Dieppe,Limited Groceries,POINT (-64.75866177882916 46.092713340312784),-64.75866177882916,46.092713340312784
21,Shoppers Drug Mart,320 ELMWOOD DR,Secondary,Moncton,Limited Groceries,POINT (-64.77451243206235 46.113227275330395),-64.77451243206235,46.113227275330395
22,Shoppers Drug Mart,500 COVERDALE RD,Secondary,Riverview,Limited Groceries,POINT (-64.8063595675178 46.062703100584955),-64.8063595675178,46.062703100584955
23,Rinzlers Meat Market,808 MOUNTAIN RD,Primary,Moncton,General Groceries,POINT (-64.80767810606925 46.099728704075474),-64.80767810606925,46.099728704075474
25,Dolma,251 ST GEORGE ST,Secondary,Moncton,Limited Groceries,POINT (-64.78371524066492 46.091203664168326),-64.78371524066492,46.091203664168326
26,Dolma,140 CANAAN DR,Secondary,Dieppe,Limited Groceries,POINT (-64.69305454613911 46.09485971520578),-64.69305454613911,46.09485971520578
27,Tomavo,1063 MOUNTAIN RD,Specialty,Moncton,Limited Groceries,POINT (-64.81921845229363 46.10473154627048),-64.81921845229363,46.10473154627048
28,Wholesale Club,520 ST GEORGE BLVD,Primary,Moncton,Limited Groceries,POINT (-64.7964400337385 46.0876348377244),-64.7964400337385,46.0876348377244
29,Old Fashion Meat Market,1855 MOUNTAIN RD,Specialty,Moncton,Limited Groceries,POINT (-64.84939374644665 46.12261021652806),-64.84939374644665,46.12261021652806
33,Old Time Meat Market,711 COVERDALE RD,Specialty,Riverview,Limited Groceries,POINT (-64.81630908747486 46.06160909479884),-64.81630908747486,46.06160909479884
34,Afrikana (products from Central Africa),7 Jones St,Specialty,Moncton,Limited groceries,POINT (-64.79560371247048 46.09774785348595),-64.79560371247048,46.09774785348595
35,Blue Olive Grocery Store (Middle Eastern),451 Paul St,Specialty,Dieppe,Limited groceries,POINT (-64.75689832622439 46.09519183720484),-64.75689832622439,46.09519183720484
36,Spice Shop (Asian/Filipino),75 Champlain St,Specialty,Dieppe,Limited groceries,POINT (-64.75463482712378 46.09450880811199),-64.75463482712378,46.09450880811199
37,Dolma Foods (international),249 St George St,Specialty,Moncton,Limited groceries,POINT (-64.78363532588678 46.09116462599663),-64.78363532588678,46.09116462599663
38,Baobab (African goods store),331 Elmwood Dr,Specialty,Moncton,Limited groceries,POINT (-64.7725000089664 46.114759758721355),-64.7725000089664,46.114759758721355
39,Near East Chinese Market,342 Coverdale Rd,Specialty,Riverview,Limited groceries,POINT (-64.7954157343975 46.067492229893816),-64.7954157343975,46.067492229893816
40,Dieppe Market,232 Gauvin Rd,Specialty,Dieppe,Limited groceries,POINT (-64.74625446549598 46.09416663082345),-64.74625446549598,46.09416663082345
41,Moncton Market,120 Westmorland St,Specialty,Moncton,Limited groceries,POINT (-64.77846516247602 46.08729568979632),-64.77846516247602,46.08729568979632
42,Dolma Food (Dieppe),140 Canaan Dr,Specialty,Dieppe,Limited groceries,POINT (-64.69328640849425 46.09505770176357),-64.69328640849425,46.09505770176357
43,Oriental Market,1383 Main St,Specialty,Moncton,Limited groceries,POINT (-64.79200483605827 46.08409978335291),-64.79200483605827,46.08409978335291
44,Kim's Mart,797 Mountain Rd,Specialty,Moncton,Limited groceries,POINT (-64.80693366364399 46.1001061515139),-64.80693366364399,46.1001061515139
45,Nguyen Asian Convenience Store,55 Belleview Ave,Specialty,Moncton,Limited groceries,POINT (-64.77517767414754 46.09458828812463),-64.77517767414754,46.09458828812463
46,L.A. Groceries,526 St. George Blvd,Specialty,"Moncton
",Limited groceries,POINT (-64.79723090782366 46.0876210312989),-64.79723090782366,46.0876210312989
47,Rabih Store,390 St. George St.,Specialty,Moncton,Limited groceries,POINT (-64.78984999523627 46.089458281928934),-64.78984999523627,46.089458281928934
48,Taste of Homeland,1201 Mountain Rd,Specialty,Moncton,Limited groceries,POINT (-64.82566905432849 46.10796563066906),-64.82566905432849,46.10796563066906
49,B's Kilimanjaro - African Groceries,247 Lewisville Rd,Specialty,Moncton,Limited groceries,POINT (-64.76582280822045 46.10237879316377),-64.76582280822045,46.10237879316377
50,Walkem Int'l Food Market,148 High St,Specialty,Moncton,Limited groceries,POINT (-64.79099142649851 46.08924534790372),-64.79099142649851,46.08924534790372
